"","n_comp","freq","threshold","sd","subj"
"1",3,"300",-7.25,1.11803399,"p05"
"2",5,"6100",8.875,1.03832798,"p05"
"3",1,"6100",-3,0.55901699,"p05"
"4",1,"300",-14.875,0.71807033,"p05"
"5",15,"300",-0.125,1.52581945,"p05"
"6",9,"300",-7.375,1.03832798,"p99"
"7",5,"300",-13.125,2.18303115,"p99"
"8",15,"6100",4.625,2.76416805,"p99"
"9",1,"300",-16.625,0.80039053,"p99"
"10",3,"300",-10.125,1.17924764,"p99"
"11",1,"6100",-3.25,1.67705098,"p99"
"12",9,"6100",4.375,1.80710404,"p99"
"13",5,"6100",8,0.8660254,"p99"
"14",3,"6100",-2.5,1.43614066,"p99"
"15",15,"300",0.625,1.46308749,"p99"
"16",9,"6100",-0.625,1.125,"p99"
"17",5,"300",-10.375,0.375,"p99"
"18",9,"300",-5.875,1.48429276,"p99"
"19",15,"300",-2.5,0.61237244,"p99"
"20",15,"6100",13,0,"p99"
"21",1,"300",-10.875,2.91815438,"p99"
"22",5,"6100",-4.875,1.09687055,"p99"
"23",3,"6100",-7.5,0.55901699,"p99"
"24",1,"6100",-11.5,0.8660254,"p99"
"25",3,"300",-14.125,0.375,"p99"
"26",3,"300",-12.125,0.6731456,"p99"
"27",1,"300",-15.75,0.70710678,"p99"
"28",5,"300",-12.875,1.58607219,"p99"
"29",9,"6100",4.75,0.55901699,"p99"
"30",3,"6100",-5.875,0.83852549,"p99"
"31",5,"6100",-4.625,1.09687055,"p99"
"32",15,"300",-6,0.93541435,"p99"
"33",15,"6100",4.375,3.71020552,"p99"
"34",1,"6100",-11.375,0.91001374,"p99"
"35",9,"300",-12.375,1.00778222,"p99"
"36",3,"6100",-4.25,1.11803399,"p99"
"37",3,"300",-11.75,1.76776695,"p99"
"38",5,"300",-11.5,1.93649167,"p99"
"39",9,"300",-10.125,1.39754249,"p99"
"40",15,"300",-4.125,0.80039053,"p99"
"41",15,"6100",13,0,"x32"
"42",5,"300",-3,1.3462912,"x32"
"43",9,"6100",1.625,2.89665756,"x32"
"44",1,"6100",-2.75,0.61237244,"x32"
"45",9,"300",13,0,"x32"
"46",15,"300",-2.875,0.71807033,"x32"
"47",5,"6100",-4,1.22474487,"x32"
"48",3,"300",-2.75,1.03077641,"x32"
"49",3,"6100",-2.75,0.8291562,"x32"
"50",1,"300",-4.875,0.6731456,"x32"
"51",3,"6100",-2.375,1.17924764,"x32"
"52",15,"300",-0.25,0.61237244,"x32"
"53",1,"300",-10.125,0.6731456,"x32"
"54",5,"6100",-2.25,1.41421356,"x32"
"55",9,"6100",13,0,"x32"
"56",3,"300",-4.5,3.14245127,"x32"
"57",9,"300",-8.125,0.9437293,"x32"
"58",1,"6100",-6.25,0.8660254,"x32"
"59",15,"6100",13,0,"x32"
"60",5,"300",-6.375,1.09687055,"x32"
"61",3,"6100",-6.125,1.17924764,"x32"
"62",9,"300",-8.25,2.10653744,"x32"
"63",15,"6100",7.375,1.17924764,"x32"
"64",3,"300",-5.375,2.00390244,"x32"
"65",5,"300",-3.625,0.375,"x32"
"66",1,"6100",-1,0.61237244,"x32"
"67",15,"300",-2.5,0.96824584,"x32"
"68",5,"6100",13,0,"x32"
"69",1,"300",-8.375,1.80710404,"x32"
"70",9,"6100",13,0,"x32"
"71",15,"6100",13,0,"x32"
"72",5,"6100",13,0,"x32"
"73",5,"300",-4,0.96824584,"x32"
"74",9,"6100",13,0,"x32"
"75",3,"300",-7,2.07665597,"x32"
"76",3,"6100",-2.75,3.28823661,"x32"
"77",9,"300",-5.75,1.19895788,"x32"
"78",1,"300",-9.875,0.6731456,"x32"
"79",15,"300",1,0.70710678,"x32"
"80",1,"6100",-5.125,0.71807033,"x32"
"81",9,"300",-6.75,1.6583124,"x32"
"82",9,"6100",8.625,1.32876823,"x32"
"83",5,"300",-9,1.03077641,"x32"
"84",5,"6100",9.375,0.80039053,"x32"
"85",1,"6100",-5.75,1.27475488,"x32"
"86",15,"300",-3.25,1.43614066,"x32"
"87",15,"6100",13,0,"x32"
"88",3,"300",-5.625,0.91001374,"x32"
"89",1,"300",-16.5,1.82002747,"x32"
"90",3,"6100",-4.625,1.32876823,"x32"
"91",9,"6100",13,0,"x32"
"92",9,"300",-6.875,1.90804219,"x32"
"93",5,"6100",-7.125,2.7866871,"x32"
"94",3,"300",-5.875,1.66301684,"x32"
"95",15,"300",1.125,0.80039053,"x32"
"96",1,"6100",3.375,1.09687055,"x32"
"97",5,"300",-6.375,0.80039053,"x32"
"98",3,"6100",1.125,2.18303115,"x32"
"99",15,"6100",13,0,"x32"
"100",1,"300",-2.75,2.01556444,"x32"
"101",5,"300",-9.375,1.46308749,"x32"
"102",5,"6100",-3.875,3.954823,"x32"
"103",15,"6100",13,0,"x32"
"104",1,"6100",-2.125,0.71807033,"x32"
"105",9,"6100",13,0,"x32"
"106",3,"300",-9.625,1.66301684,"x32"
"107",1,"300",-6.875,1.00778222,"x32"
"108",9,"300",-4.125,0.5153882,"x32"
"109",3,"6100",-4.25,2.1937411,"x32"
"110",15,"300",-1.375,1.28086885,"x32"
